LncRNA name	Synonyms	geneid	ensg_name	refseq_id	position	cancer type	ICD-0-3	ICD-0-3	methods	sample	regulated	function description	pubmed id	year	title	drug	circulating	survival	miR	variant	TF	methylation
ENST00000507437	RNPS1P1	NA	ENSG00000250896	NA	GRCh38_4:11371975-11372892	non small cell lung cancer	C34	M8046/3	microarray, qPCR, Cell proliferation assay etc.	cell lines (PC9, H1975, H1299 and A549)	up-regulated	Four upregulated and four downregulated lncRNAs from differentially expressed lncRNAs were randomly selected. Using RT-qPCR the results of microarray in PC9/R vs. PC9 were validated. The expression levels of ENST00000507437, ENST00000508827, NR_026685 and BC087858 were upregulated and ENST00000381279, ENST00000418077, BG188549 and BE244504 were downregulated. Thus, the microarray data were confirmed by RT-qPCR.	25482516	2015	Microarray expression profile of long non-coding RNAs in EGFR-TKIs resistance of human non-small cell lung cancer.	EGFR-TKIs	0	1	0	0	1	0
ENST00000507950	LINC02121	NA	ENSG00000250529	NA	GRCh38_5:5069192-5078311	renal cell carcinoma	C64.9	NA	microarray, qPCR etc.	RCC tissues	down-regulated	From five paired samples we identified hundreds of significantly differentiated lncRNAs. Specifically, the most upregulated lncRNAs were: uc001vjj.1, ENST00000414223, BC047917, uc003erl.1, and uc009wkz.1, of which uc001vjj.1 was the highest. The most highly downregulated were: ENST00000507950, uc001aka.2, NR_026860, NR_024256, and BC070168, of which ENST00000507950 showed the largest downregulation.	24905231	2014	Expression pattern of long non-coding RNAs in renal cell carcinoma revealed by microarray.	0	0	1	0	0	0	0
ENST00000508827	RP11-47I22.2, LOC101927780	NA	NA	NA	GRCh38_14:61556320-61570653	non small cell lung cancer	C34	M8046/3	microarray, qPCR, Cell proliferation assay etc.	cell lines (PC9, H1975, H1299 and A549)	up-regulated	Four upregulated and four downregulated lncRNAs from differentially expressed lncRNAs were randomly selected. Using RT-qPCR the results of microarray in PC9/R vs. PC9 were validated. The expression levels of ENST00000507437, ENST00000508827, NR_026685 and BC087858 were upregulated and ENST00000381279, ENST00000418077, BG188549 and BE244504 were downregulated. Thus, the microarray data were confirmed by RT-qPCR.	25482516	2015	Microarray expression profile of long non-coding RNAs in EGFR-TKIs resistance of human non-small cell lung cancer.	EGFR-TKIs	0	1	0	0	1	0
ENST00000509150	ATP2C1, ATP2C1A, BCPM, HHD, PMR1, SPCA1, hSPCA1	27032	ENSG00000017260	NA	GRCh38_3:130850595-131016712	acute myeloid leukemia	NA	M9861/3	microarray, qPCR etc.	bone marrow	up-regulated	To confirm the microarray data, we selected 97 dysregulated lncRNAs from the microarray analysis of 22 pediatric AML samples and 20 control samples using qRT-PCR. Our data revealed that the lncRNA expression profile in pediatric AML was significantly different from normal controls. A total of 24 lncRNAs were confirmed to be dysregulated in pediatric AML	26573779	2016	Microarray profiling of bone marrow long non-coding RNA expression in Chinese pediatric acute myeloid leukemia patients.	0	0	1	1	0	0	0
ENST00000513638	GBP1P1	NA	ENSG00000225492	NA	GRCh38_1:89407679-89426243	nasopharyngeal cancer	C11	NA	microarray, qPCR etc.	NPC tissues	up-regulated	Eleven lncRNAs  expression level exhibited the same trends of up- and down-regulation as our microarray data and had statistically significant between NPC and CNP tissues, which supported a strong consistency with the microarray analysis.	25406670	2015	Genome-wide analysis of long non-coding RNA in primary nasopharyngeal carcinoma by microarray.	0	0	0	0	0	0	0
ENST00000514571	MEF2C-AS1	NA	ENSG00000248309	NA	GRCh38_5:88965875-89168668	nasopharyngeal cancer	C11	NA	microarray, qPCR etc.	NPC tissues	down-regulated	Eleven lncRNAs  expression level exhibited the same trends of up- and down-regulation as our microarray data and had statistically significant between NPC and CNP tissues, which supported a strong consistency with the microarray analysis.	25406670	2015	Genome-wide analysis of long non-coding RNA in primary nasopharyngeal carcinoma by microarray.	0	0	0	0	0	0	0
ENST00000515084	CASC22, LINC01373, LincRNA-ENST00000515084, TCONS_00024290	NA	ENSG00000260887	NA	GRCh38_16:52258564-52280638	breast cancer	C50	NA	qPCR, Luciferase reporter assay, Cell viability assay, Transient transfection etc.	cell lines (MCF-7 and Bcap-37)	up-regulated	We found that the C allele of the rs12325489C>T polymorphism in the exonic regions of lincRNA-ENST00000515084 was associated with a significantly increased risk of breast cancer, compared with the rs12325489TT genotype. Biochemical analysis demonstrated that the C to T base change at rs12325489C>T disrupts the binding site for miRNA-370, thereby influencing the transcriptional activity of lincRNA-ENST00000515084 in vitro and in vivo, and affecting cell proliferation and tumor growth.	24879036	2014	A polymorphism rs12325489C>T in the lincRNA-ENST00000515084 exon was found to modulate breast cancer risk via GWAS-based association analyses.	0	0	0	0	0	0	0
ENST00000515275	APELA, ELA, Ende, tdl	100506013	ENSG00000248329	NA	GRCh38_4:164877004-164898965	papillary thyroid cancer	NA	M8260/3	microarray, qPCR etc.	PTC tissues	down-regulated	To verify the microarray data, 8 differentially expressed lncRNAs, including 4 upregulated (ENST00000503723, ENST00000423539, uc003tab.3 and NR_073085) and 4 downregulated (ENST00000515275, ENST00000570022, uc003qef.1 and ENST00000427243) lncRNAs, were randomly selected for RT-qPCR in 33 pairs of PTC and adjacent noncancerous tissues. 	27347178	2016	Long noncoding RNA are aberrantly expressed in human papillary thyroid carcinoma.	0	0	0	0	0	0	0
ENST00000518554	DCAF13, GM83, HSPC064, Sof1, WDSOF1	25879	ENSG00000164934	NA	GRCh38_8:103414714-103443453	glioblastoma	NA	M9440/3	microarray, qPCR etc.	glioblastoma tissues	down-regulated	In our expression profling analysis, the lncRNA ENST00000520186, ENST00000559981, ENST00000547415 and ENST00000518554 were separately considered as the ceRNA of miR-15a, miR-21, miR-29b and miR-29c in GBM. So far, these ceRNAs have not been reported implicated in GBM. Four mRNAs may be regulated by these miRNAs and lncRNAs, the PPP3CA have been reported to be aberrantly expressed in other tumors, but have not been studied in GBM.	27600337	2016	Identification and functional characterization of lncRNAs acting as ceRNA involved in the malignant progression of glioblastoma multiforme.	0	0	0	1	0	0	0
ENST00000520186	FBXO41, FBX41	150726	ENSG00000163013	NA	GRCh38_2:73254682-73284431	glioblastoma	NA	M9440/3	microarray, qPCR etc.	glioblastoma tissues	up-regulated	In our expression profling analysis, the lncRNA ENST00000520186, ENST00000559981, ENST00000547415 and ENST00000518554 were separately considered as the ceRNA of miR-15a, miR-21, miR-29b and miR-29c in GBM. So far, these ceRNAs have not been reported implicated in GBM. Four mRNAs may be regulated by these miRNAs and lncRNAs, the PPP3CA have been reported to be aberrantly expressed in other tumors, but have not been studied in GBM.	27600337	2016	Identification and functional characterization of lncRNAs acting as ceRNA involved in the malignant progression of glioblastoma multiforme.	0	0	0	1	0	0	0
ENST00000521815	CASC19, CARLo-6, LINC01245	103021165	ENSG00000254166	NR_120364	GRCh38_8:127072694-127227541	colorectal cancer	C19.9	NA	qPCR	colorectal cancer tissues, cell lines (LOVO, CACO2, DLD1, HCT8, RKO, FHC)	up-regulated	The expression of CASC19 in colorectal cancer was significantly higher than those in adjacent normal mucosa tissues (t=5.527, P<0.000 1) and was associated with metastasis (P=0.044). Knockdown of CASC19 expression in CRC inhibited the migration ability of CRC in vitro.CASC19 expression is not associated with age, gender, or tumor site/differentiation but with tumor size, lymph node metastasis, and distant metastasis, suggesting high CASC19 expression may promote CRC metastasis.	29338818	2017	Expression and Function of Long Non-coding RNA CASC19 in Colorectal Cancer.	0	0	0	0	0	0	0
ENST00000521815	CASC19, CARLo-6, LINC01245	103021165	ENSG00000254166	NR_120364	GRCh38_8:127185480-127188210	colon cancer	C18	NA	microarray, qPCR etc.	colon cancer tissues	up-regulated	In comparison with that in the NC, the relative levels of ENST00000609220, ENST00000455974, ENST00000521815 and lnc-KIAA1755-5:9 lncRNA transcripts were significantly upregulated while the relative levels of NR_026543 and Inc-DCAF10-3:1 expression were significantly downregulated in the pMMR CC tissues.	28160106	2017	Variable Levels of Long Noncoding RNA Expression in DNA Mismatch Repair-Proficient Early-Stage Colon Cancer.	0	0	0	0	0	0	0
ENST00000529019	OPCML, IGLON1, OBCAM, OPCM	4978	ENSG00000183715	NA	GRCh38_11:132414977-133532519	glioblastoma multiforme	NA	M9440/3	microarray, qPCR etc.	GBM tissues	down-regulated	Next, we analyzed nine lncRNAs and their adjacent mRNAs levels to explore whether differently expressed lncRNAs in GBM affected the expressions of nearby coding genes. Analysis by qRT-PCR showed that four mRNAs adjacent to the increased lncRNAs were up-regulated, while five mRNAs adjacent to the decreased lncRNAs were down-regulated in GBM. 	27604987	2016	LncRNA and mRNA expression profiles of glioblastoma multiforme (GBM) reveal the potential roles of lncRNAs in GBM pathogenesis.	0	0	0	0	0	0	0
ENST00000531193	NA	NA	NA	NA	NA	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	up-regulated	We selected 18 lncRNAs for real-time PCR quantification in 20 cervix cancer and normal cervix tissues separately. The data showed that the selected lncRNAs were upregulated in cervix cancer tissues significantly, compared to the normal cervix tissues.	26054679	2015	Systematic gene microarray analysis of the lncRNA expression profiles in human uterine cervix carcinoma.	0	0	0	0	0	0	0
ENST00000531702.1	C6orf3	NA	NA	NA	GRCh38_6:111599875-111602295	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	up-regulated	We selected 18 lncRNAs for real-time PCR quantification in 20 cervix cancer and normal cervix tissues separately. The data showed that the selected lncRNAs were upregulated in cervix cancer tissues significantly, compared to the normal cervix tissues.	26054679	2015	Systematic gene microarray analysis of the lncRNA expression profiles in human uterine cervix carcinoma.	0	0	0	0	0	0	0
ENST00000532691	NAALAD2, GCPIII, GPCIII, NAADALASE2, NAALADASE2	10003	ENSG00000077616	NA	GRCh38_11:90131515-90192894	glioblastoma multiforme	NA	M9440/3	microarray, qPCR etc.	GBM tissues	down-regulated	The expressions of ENST00000559148 and n410783 lncRNAs were up-regulated; the levels of CDC20, CDC25C, CCNB2, and CDC45 mRNAs that were co-expressed with ENST00000559148 were increased; and the down-regulated ARRB1, PTPN5, MAPK8IP3, and PAK1 mRNAs and the up-regulated CDK4 mRNA were co-expressed with n410783. The expression levels of eight mRNAs that were co-expressed with two down-regulated lncRNAs (ENST00000532691 and ENST00000480032) in GBM were lower than those in normal brain tissues.	27604987	2016	LncRNA and mRNA expression profiles of glioblastoma multiforme (GBM) reveal the potential roles of lncRNAs in GBM pathogenesis.	0	0	0	0	0	0	0
ENST00000535511	RP11-768F21.1, LOC105370027	NA	NA	NA	GRCh38_12:119387991-119594240	colorectal cancer	C19.9	NA	microarray, qPCR etc.	CRC tissues	up-regulated	qRT-PCR was performed to assess their expression levels in 14 pairs of matched colorectal tumor/non-tumor sample. This analysis revealed that miR-133b was significantly downregulated in CRC tumor samples, while UBD and lncRNA ENST00000535511 were significantly upregulated in CRC tumor samples. A significantly positive correlation between UBD and lncRNA ENST00000535511 was also observed.	28177879	2017	Comprehensive analysis of differentially expressed profiles of lncRNAs and construction of miR-133b mediated ceRNA network in colorectal cancer.	0	0	0	1	0	0	0
ENST00000539009	RP11-277P12.10	NA	NA	NA	GRCh38_12:10332861-10338292	colorectal cancer	C19.9	NA	microarray, qPCR etc.	cell line (HCT116)	down-regulated	To validate the microarray results, we randomly selected 6 differentially expressed lncRNAs (TCONS_00026506, ENST00000468960, NR_038990, ENST00000575202, ENST00000539009 and ENST00000544591) between CRR-HCT116 and parental HCT116 cells to confirm their expression levels by qPCR. Changes in lncRNA expression are involved in 5-FU-based CRR in CRC cells. 	25921151	2015	Microarray Analysis of Long Non-coding RNA Expression Profile Associated with 5-Fluorouracil-Based Chemoradiation Resistance in Colorectal Cancer Cells.	5-Fluorouracil	0	0	0	0	0	0
ENST00000539535	NA	NA	NA	NA	NA	esophageal squamous cell cancer	NA	NA	microarray, qPCR etc.	ESCC tissues	up-regulated	Therefore, we chose 10 significant differentially expressed lncRNAs randomly from microarray results.	27035335	2016	Microarray expression profile analysis of aberrant long non-coding RNAs in esophageal squamous cell carcinoma.	0	0	1	0	0	1	0
ENST00000539653.1	RP11-230G5.2, LOC105369187	NA	NA	NA	GRCh38_12:65499899-65642362	papillary thyroid cancer	NA	M8260/3	microarray, qPCR etc.	PTC tissues	up-regulated	We selected the top 3 up- and down-regulated lncRNAs and another random 4 differentially expressed lncRNAs and measured their expression in 55 pairs of PTC and corresponding noncancerous thyroid tissues using qRT-PCR. These qRT-PCR results are consistent with the microarray data.	27929737	2017	Long noncoding RNA HIT000218960 promotes papillary thyroid cancer oncogenesis and tumor progression by upregulating the expression of high mobility group AT-hook 2 (HMGA2) gene.	0	0	0	0	0	0	0
ENST00000540136	RP11-598F7.5	NA	NA	NA	GRCh38_12:164664-166321	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissues	down-regulated	The remaining 10 lncRNAs, showed significantly different expression in the tumor samples. For 9 of these, expression was altered in the same direction as had been detected by microarray analysis.differentially expressed lncRNAs in early stage lung adenocarcinoma and suggest that lncRNAs may be novel candidate biomarkers for the early detection of this disease.	25758555	2015	Identification of biomarkers for the detection of early stage lung adenocarcinoma by microarray profiling of long noncoding RNAs.	0	0	0	0	0	0	0
ENST00000544591	LINC02446	NA	ENSG00000256039	NA	GRCh38_12:10553363-10558049	colorectal cancer	C19.9	NA	microarray, qPCR etc.	cell line (HCT116)	down-regulated	To validate the microarray results, we randomly selected 6 differentially expressed lncRNAs (TCONS_00026506, ENST00000468960, NR_038990, ENST00000575202, ENST00000539009 and ENST00000544591) between CRR-HCT116 and parental HCT116 cells to confirm their expression levels by qPCR. Changes in lncRNA expression are involved in 5-FU-based CRR in CRC cells. 	25921151	2015	Microarray Analysis of Long Non-coding RNA Expression Profile Associated with 5-Fluorouracil-Based Chemoradiation Resistance in Colorectal Cancer Cells.	5-Fluorouracil	0	0	0	0	0	0
ENST00000547415	NOVA1, Nova-1	4857	ENSG00000139910	NA	GRCh38_14:26443093-26597754	glioblastoma	NA	M9440/3	microarray, qPCR etc.	glioblastoma tissues	down-regulated	In our expression profling analysis, the lncRNA ENST00000520186, ENST00000559981, ENST00000547415 and ENST00000518554 were separately considered as the ceRNA of miR-15a, miR-21, miR-29b and miR-29c in GBM. So far, these ceRNAs have not been reported implicated in GBM. Four mRNAs may be regulated by these miRNAs and lncRNAs, the PPP3CA have been reported to be aberrantly expressed in other tumors, but have not been studied in GBM.	27600337	2016	Identification and functional characterization of lncRNAs acting as ceRNA involved in the malignant progression of glioblastoma multiforme.	0	0	0	1	0	0	0
ENST00000547547		NA	NA	NA	GRCh38_12:69946543-69947081	colorectal cancer	C19.9	NA	qPCR, Western blot, RIP	cell lines (HCT116 and LoVo)	down-regulated	Overexpression of ENST00000547547 promoted 5-FU-induced cell apoptosis and reduced the chemoresistance of 5-FU in-vitro.ENST00000547547 was a target of miR-31, miR-31 was upregulated in 5-FU-resistant CRC  cells, and knockdown of miR-31 increased the chemosensitivity of 5-FU-resistant CRC cells. ENST00000547547 reduced chemoresistance in 5-FU of 5-FU-resistant CRC cells through competitive binding to miR-31 and has the potential to serve as a therapeutic target in CRC patients.	29115526	2017	The long non-coding RNA ENST00000547547 reduces 5-fluorouracil resistance of colorectal cancer cells via competitive binding to microRNA-31.	5-fluorouracil	0	1	0	0	0	0
ENST00000547963	LINC01234, LCAL84, onco-lncRNA-32	100506465	ENSG00000249550	NR_110026	GRCh38_12:113744577-113773683	esophageal squamous cell cancer	NA	NA	microarray, qPCR etc.	OSCC tissues	differential expression	we identified a three-lncRNA signature (including the lncRNAs ENST00000435885.1, XLOC_013014 and ENST00000547963.1) which classified the patients into two groups with significantly different overall survival . The signature was applied to the test group and independent cohort and showed similar prognostic values in both.	24522499	2014	LncRNA profile study reveals a three-lncRNA signature associated with the survival of patients with oesophageal squamous cell carcinoma.	0	0	1	0	0	0	0
ENST00000547963	LINC01234, LCAL84, onco-lncRNA-32	100506465	ENSG00000249550	NR_110026	GRCh38_12:113679459-113773683	gastric cancer	C16	NA	qPCR, Western blot, Luciferase reporter assay, RIP etc.	gastric cancer tissues, cell lines (GES-1, BGC823, SGC7901, AGS, HGC27, MGC803)	up-regulated	LINC01234 expression was significantly upregulated in gastric cancer tissues and was associated with larger tumor size, advanced TNM stage,lymph node metastasis,and shorter survival time.Furthermore,knockdown of LINC01234-induced apoptosis and growth arrest in vitro and inhibited tumorigenesis in mouse xenografts.Mechanistic investigations indicated that LINC01234 functioned as a ceRNA for miR-204-5p,thereby leading to the derepression of its endogenous target core-binding factor B (CBFB). LINC01234 is significantly overexpressed in gastric cancer, and LINC01234-miR-204-5p-CBFB axis plays a critical role in gastric cancer tumorigenesis. 	29386218	2018	Long Noncoding RNA LINC01234 Functions as a Competing Endogenous RNA to Regulate  CBFB Expression by Sponging miR-204-5p in Gastric Cancer.	0	0	1	1	0	0	0
ENST00000548900.1	RP11-1143G9.4	NA	NA	NA	GRCh38_12:69353493-69354225	gastric cancer	C16	NA	microarray, qPCR etc.	cell lines (SGC-7901, SGC-7901, AGS)	down-regulated	To confirm the microarray results, we randomly selected two up-regulated lncRNAs (XLOC_000983, XLOC_005104) and six down-regulated lncRNAs (M18204.1, ENST00000548900.1, XLOC_006324, ENST00000420902.1, AK027145, HIX0023999) with log foldchanges > 2 to perform real-time PCR. The results of real-time PCR indicated a consistency of 87.5% between the real-time PCR results and the microarray results in SGC-7901 cells, these also showed a same result between PCR and microarray in AGS cells.	28043146	2017	Microarray analysis of long non-coding RNAs related to microRNA-148b in gastric cancer.	0	0	0	1	0	0	0
ENST00000551152		NA	NA	NA	GRCh38_12:38906451-38909592	cervical cancer	C53	NA	Microarray, qPCR etc.	cell lines(HeLa, SiHa,MS751 and C34A), cervical cancer tissues	up-regulated	ENST00000551152 expression levels were closely associatedwith FIGO stage, tumor size, stromal invasion, pelvic lymphnode metastasis and SCC antigen expression level. Thus, ENST00000551152 shows great potential as a biomarker incervical cancer pathogenesis.	29552195	2018	Identification of lncRNAs by microarray analysis reveals the potential role of lncRNAs in cervical cancer pathogenesis. 	0	0	0	0	0	0	0
ENST00000552364	KRT73-AS1	NA	ENSG00000257495	NA	GRCh38_12:52609851-52615305	colorectal cancer	C19.9	NA	microarray, qPCR etc.	CRC tissues	down-regulated	To verify the microarray results, we randomly selected 4 upregulated lncRNAs and 3 downregulated lncRNAs from the differentially expressed lncRNAs in the microarray. qRT-PCR method was used to confirm the expression levels of the selected lncRNAs in the CRC tissues and paired adjacent normal tissues used in the microarray test. Despite the fact that the fold change of each selected lncRNA in the qRT-PCR test was not in full accord with the microarray data, the variation tendency of each lncRNA was consistent with the result of the micro-array.	26847923	2016	Expression profile of long non-coding RNAs in colorectal cancer: A microarray analysis.	0	0	0	0	1	0	0
ENST00000553559	SNHG10, C14orf62, LINC00063, NCRNA00063	283596	ENSG00000247092	NR_001459	GRCh38_14:95532914-95534872	osteosarcoma	NA	M9180/3	microarray, qPCR, MTT assay etc.	cell line (MG63/DXR)	up-regulated	The results showed that lncRNA ENST00000563280, uc021pbg.1, ENST00000568031, ENST00000545508, uc010lgv.1, ENST00000553559 and uc003txt.3 were up-regulated and that NR-036444, ENST00000440570, ENST00000476909, NR_040001, ENST00000457390, uc002sts.4, ENST00000576810 and ENST00000565617 were down-regulated in the doxorubicin-resistant MG63/DXR cells compared with their parental MG63 cell controls.	26464619	2015	Long noncoding RNA expression profiles of the doxorubicin-resistant human osteosarcoma cell line MG63/DXR and its parental cell line MG63 as ascertained by microarray analysis.	doxorubicin	0	1	0	1	1	0
ENST00000554055.1	RP11-841O20.2	NA	NA	NA	GRCh38_14:52640839-52641566	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	up-regulated	We selected 18 lncRNAs for real-time PCR quantification in 20 cervix cancer and normal cervix tissues separately. The data showed that the selected lncRNAs were upregulated in cervix cancer tissues significantly, compared to the normal cervix tissues.	26054679	2015	Systematic gene microarray analysis of the lncRNA expression profiles in human uterine cervix carcinoma.	0	0	0	0	0	0	0
ENST00000559148	RP11-627D16.1	NA	NA	NA	GRCh38_15:46693288-46804844	glioblastoma multiforme	NA	M9440/3	microarray, qPCR etc.	GBM tissues	up-regulated	The expressions of ENST00000559148 and n410783 lncRNAs were up-regulated; the levels of CDC20, CDC25C, CCNB2, and CDC45 mRNAs that were co-expressed with ENST00000559148 were increased; and the down-regulated ARRB1, PTPN5, MAPK8IP3, and PAK1 mRNAs and the up-regulated CDK4 mRNA were co-expressed with n410783. The expression levels of eight mRNAs that were co-expressed with two down-regulated lncRNAs (ENST00000532691 and ENST00000480032) in GBM were lower than those in normal brain tissues.	27604987	2016	LncRNA and mRNA expression profiles of glioblastoma multiforme (GBM) reveal the potential roles of lncRNAs in GBM pathogenesis.	0	0	0	0	0	0	0
ENST00000559981	PLEKHH1	NA	ENSG00000054690	NA	GRCh38_14:67533301-67589612	glioblastoma	NA	M9440/3	microarray, qPCR etc.	glioblastoma tissues	up-regulated	In our expression profling analysis, the lncRNA ENST00000520186, ENST00000559981, ENST00000547415 and ENST00000518554 were separately considered as the ceRNA of miR-15a, miR-21, miR-29b and miR-29c in GBM. So far, these ceRNAs have not been reported implicated in GBM. Four mRNAs may be regulated by these miRNAs and lncRNAs, the PPP3CA have been reported to be aberrantly expressed in other tumors, but have not been studied in GBM.	27600337	2016	Identification and functional characterization of lncRNAs acting as ceRNA involved in the malignant progression of glioblastoma multiforme.	0	0	0	1	0	0	0
ENST00000562112	NAPSB, NAP1L, NAP2, NAPB, NAPSBP	256236	ENSG00000131401	NA	GRCh8_19:50333796-50344767	lung squamous cell carcinoma	C34	M8070/3	microarray, qPCR etc.	LSCC tissues	up-regulated	Five lncRNAs (ENST00000584612, ENST00000579363, NR_038200, ENST00000466677 and ENST00000562112) were randomly selected to validate the microarray consistency by using qPCR. The results demonstrated that lncRNA ENST00000584612 and ENST00000579363 were downregulated and that NR_038200, ENST00000466677 and ENST00000562112 were upregulated in the PR samples compared with PD samples.	25250788	2014	Long noncoding RNAs expression patterns associated with chemo response to cisplatin based chemotherapy in lung squamous cell carcinoma patients.	Cisplatin 	0	0	0	0	0	0
ENST00000564977	NA	NA	NA	NA	NA	cervical cancer	C53	NA	microarray, qPCR, RNAi etc.	cell line (HeLa)	up-regulated	Up-regulation of ENST00000420168, ENST00000564977 and down-regulation of TCONS_00010232 might stimulate FOXQ1 expression and suppress CASP3 expression in HPV-18 positive cervical cancer cell, which lead to HPV-induced proliferation and deficiency in apoptosis.	27363024	2016	Comprehensive analysis of lncRNAs microarray profile and mRNA-lncRNA co-expression in oncogenic HPV-positive cervical cancer cell lines.	0	0	0	0	0	0	0
ENST00000565617	KB-1460A1.5	NA	NA	NA	GRCh38_8:101166805-101169629	osteosarcoma	NA	M9180/3	microarray, qPCR, MTT assay etc.	cell line (MG63/DXR)	down-regulated	The results showed that lncRNA ENST00000563280, uc021pbg.1, ENST00000568031, ENST00000545508, uc010lgv.1, ENST00000553559 and uc003txt.3 were up-regulated and that NR-036444, ENST00000440570, ENST00000476909, NR_040001, ENST00000457390, uc002sts.4, ENST00000576810 and ENST00000565617 were down-regulated in the doxorubicin-resistant MG63/DXR cells compared with their parental MG63 cell controls.	26464619	2015	Long noncoding RNA expression profiles of the doxorubicin-resistant human osteosarcoma cell line MG63/DXR and its parental cell line MG63 as ascertained by microarray analysis.	doxorubicin	0	1	0	1	1	0
ENST00000565929	CTD-2012K14.6	NA	NA	NA	GRCh38_16:67549219-67549733	nasopharyngeal cancer	C11	NA	microarray, qPCR etc.	NPC tissues	down-regulated	Eleven lncRNAs  expression level exhibited the same trends of up- and down-regulation as our microarray data and had statistically significant between NPC and CNP tissues, which supported a strong consistency with the microarray analysis.	25406670	2015	Genome-wide analysis of long non-coding RNA in primary nasopharyngeal carcinoma by microarray.	0	0	0	0	0	0	0
ENST00000566575	NA	NA	NA	NA	NA	nasopharyngeal cancer	C11	NA	microarray, qPCR etc.	NPC tissues	down-regulated	Eleven lncRNAs  expression level exhibited the same trends of up- and down-regulation as our microarray data and had statistically significant between NPC and CNP tissues, which supported a strong consistency with the microarray analysis.	25406670	2015	Genome-wide analysis of long non-coding RNA in primary nasopharyngeal carcinoma by microarray.	0	0	0	0	0	0	0
ENST00000568031	RP11-863P13.3	NA	NA	NA	GRCh38_16:88177298-88178610	osteosarcoma	NA	M9180/3	microarray, qPCR, MTT assay etc.	cell line (MG63/DXR)	up-regulated	The results showed that lncRNA ENST00000563280, uc021pbg.1, ENST00000568031, ENST00000545508, uc010lgv.1, ENST00000553559 and uc003txt.3 were up-regulated and that NR-036444, ENST00000440570, ENST00000476909, NR_040001, ENST00000457390, uc002sts.4, ENST00000576810 and ENST00000565617 were down-regulated in the doxorubicin-resistant MG63/DXR cells compared with their parental MG63 cell controls.	26464619	2015	Long noncoding RNA expression profiles of the doxorubicin-resistant human osteosarcoma cell line MG63/DXR and its parental cell line MG63 as ascertained by microarray analysis.	doxorubicin	0	1	0	1	1	0
ENST00000569946	NA	NA	NA	NA	NA	glioblastoma multiforme	NA	M9440/3	microarray, qPCR etc.	GBM tissues	down-regulated	Next, we analyzed nine lncRNAs and their adjacent mRNAs levels to explore whether differently expressed lncRNAs in GBM affected the expressions of nearby coding genes. Analysis by qRT-PCR showed that four mRNAs adjacent to the increased lncRNAs were up-regulated, while five mRNAs adjacent to the decreased lncRNAs were down-regulated in GBM. 	27604987	2016	LncRNA and mRNA expression profiles of glioblastoma multiforme (GBM) reveal the potential roles of lncRNAs in GBM pathogenesis.	0	0	0	0	0	0	0
ENST00000570022	LA16c-329F2.1, LOC101929480	NA	NA	NA	GRCh38_16:1713527-1714208	papillary thyroid cancer	NA	M8260/3	microarray, qPCR etc.	PTC tissues	down-regulated	To verify the microarray data, 8 differentially expressed lncRNAs, including 4 upregulated (ENST00000503723, ENST00000423539, uc003tab.3 and NR_073085) and 4 downregulated (ENST00000515275, ENST00000570022, uc003qef.1 and ENST00000427243) lncRNAs, were randomly selected for RT-qPCR in 33 pairs of PTC and adjacent noncancerous tissues. 	27347178	2016	Long noncoding RNA are aberrantly expressed in human papillary thyroid carcinoma.	0	0	0	0	0	0	0
ENST00000570282	RP11-412D9.4	NA	NA	NA	GRCh38_12:106954029-106955497	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	up-regulated	We selected 18 lncRNAs for real-time PCR quantification in 20 cervix cancer and normal cervix tissues separately. The data showed that the selected lncRNAs were upregulated in cervix cancer tissues significantly, compared to the normal cervix tissues.	26054679	2015	Systematic gene microarray analysis of the lncRNA expression profiles in human uterine cervix carcinoma.	0	0	0	0	0	0	0
ENST00000572284.1	NA	NA	NA	NA	NA	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	up-regulated	We selected 18 lncRNAs for real-time PCR quantification in 20 cervix cancer and normal cervix tissues separately. The data showed that the selected lncRNAs were upregulated in cervix cancer tissues significantly, compared to the normal cervix tissues.	26054679	2015	Systematic gene microarray analysis of the lncRNA expression profiles in human uterine cervix carcinoma.	0	0	0	0	0	0	0
ENST00000576810	RP11-462G12.1, LOC102724927	NA	NA	NA	GRCh38_16:3947609-3950444	osteosarcoma	NA	M9180/3	microarray, qPCR, MTT assay etc.	cell line (MG63/DXR)	down-regulated	The results showed that lncRNA ENST00000563280, uc021pbg.1, ENST00000568031, ENST00000545508, uc010lgv.1, ENST00000553559 and uc003txt.3 were up-regulated and that NR-036444, ENST00000440570, ENST00000476909, NR_040001, ENST00000457390, uc002sts.4, ENST00000576810 and ENST00000565617 were down-regulated in the doxorubicin-resistant MG63/DXR cells compared with their parental MG63 cell controls.	26464619	2015	Long noncoding RNA expression profiles of the doxorubicin-resistant human osteosarcoma cell line MG63/DXR and its parental cell line MG63 as ascertained by microarray analysis.	doxorubicin	0	1	0	1	1	0
