Rank,Ensemble ID,Name,Position (hg19),MinEnergy,Binding site(query),Binding site(target),location,SumEnergy,lncRNA,Name_lncRNA
,,,,,,,,,ENST00000456355,ENSG00000234961.1
27,ENST00000373382,VPS26A,chr10:70883269-70932617 ,-34.5,286-339,498-551,UTR5,-517,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
28,ENST00000435284,RP11-473E2.4,chr9:137419029-137437090 ,-34,291-350,249-308,ncRNA,-131,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
29,ENST00000310624,NEFH,chr22:29876220-29887379 ,-33.8,45-103,960-1018,CDS,-635.8,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
30,ENST00000606229,RP11-423P10.2,chr2:37436019-37439820 ,-33.7,305-357,1718-1770,ncRNA,-635.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
31,ENST00000235372,PRDM2,chr1:14031351-14151574 ,-33.7,305-354,1631-1680,CDS,-1061.4,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
32,ENST00000314646,DNM2,chr19:10828756-10942579 ,-33.6,306-356,2985-3035,UTR3,-387.2,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
33,ENST00000452801,AC104667.3,chr2:238499813-238504624 ,-33.2,285-332,906-953,UTR3,-212.6,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
34,ENST00000299957,CASC4,chr15:44580930-44707956 ,-33.1,307-354,3481-3528,UTR3,-768.2,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
35,ENST00000432735,MCM3AP-AS1,chr21:47649149-47662913 ,-33.1,285-333,502-550,ncRNA,-490.8,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
36,ENST00000421927,MCM3AP-AS1,chr21:47649162-47662913 ,-33.1,285-333,480-528,ncRNA,-474.7,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
37,ENST00000444998,MCM3AP-AS1,chr21:47649155-47662913 ,-33.1,285-333,393-441,ncRNA,-475,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
38,ENST00000297267,FNDC1,chr6:159590430-159693141 ,-32.9,447-499,2461-2513,CDS,-628.6,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
39,ENST00000275532,KCTD7,chr7:66093869-66108038 ,-32.8,294-349,4615-4670,UTR3,-491.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
40,ENST00000608028,RP11-383I23.2,chr3:99521544-99524902 ,-32.8,307-357,1524-1574,ncRNA,-457.7,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
41,ENST00000567381,CTD-2050B12.2,chr16:56226527-56228430 ,-32.7,306-357,1459-1510,ncRNA,-354.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
42,ENST00000301785,HNRNPUL2,chr11:62480103-62494821 ,-32.7,306-357,1232-1283,CDS,-652,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
43,ENST00000375845,MAP3K19,chr2:135722062-135782248 ,-32.7,Jan-43,1497-1544,CDS,-714.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
44,ENST00000415638,IGFALS,chr16:1840478-1843733 ,-32.5,106-156,1275-1325,CDS,-140,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
45,ENST00000219837,KNOP1,chr16:19714903-19729556 ,-32.5,285-341,628-684,CDS,-609.1,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
46,ENST00000609909,RP5-1074L1.4,chr1:110912777-110915625 ,-32.5,308-357,1660-1709,ncRNA,-446.8,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
47,ENST00000306156,PRKCE,chr2:45878914-46415129 ,-32.4,Aug-66,1177-1235,CDS,-743.4,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
48,ENST00000300057,MESP1,chr15:90291893-90294541 ,-32.2,13-68,830-885,"CDS,stop_codon",-334.9,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
49,ENST00000273153,CSRNP1,chr3:39183347-39195066 ,-32.1,446-498,2671-2723,UTR3,-316.9,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
50,ENST00000416979,DPCD,chr10:103330407-103348654 ,-32.1,307-357,435-485,CDS,-246.8,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
51,ENST00000345043,OR52B6,chr11:5602108-5603114 ,-32.1,448-499,786-837,CDS,-205.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
52,ENST00000422481,GRIP2,chr3:14562200-14567490 ,-32.1,287-342,3652-3707,ncRNA,-704.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
53,ENST00000413414,GRIP2,chr3:14562200-14581850 ,-32.1,287-342,2981-3036,ncRNA,-665.8,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
54,ENST00000470056,GAPVD1,chr9:128024112-128129486 ,-32.1,424-479,7863-7918,UTR3,-1452.2,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
55,ENST00000399120,HLCS,chr21:38123494-38338773 ,-32,448-496,4607-4655,UTR3,-979.7,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
56,ENST00000290881,KIAA0895L,chr16:67209508-67217943 ,-31.9,592-645,2600-2653,UTR3,-409.1,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
57,ENST00000254043,KRT15,chr17:39669996-39678665 ,-31.9,294-350,3747-3803,CDS,-626.8,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
58,ENST00000459639,U2AF1,chr21:44513067-44525362 ,-31.9,289-344,578-633,UTR5,-280.1,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
59,ENST00000590083,C19orf26,chr19:1228287-1238026 ,-31.9,290-347,1626-1683,"CDS,stop_codon",-267.1,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
60,ENST00000505153,RP11-640N11.2,chr11:120738643-120765506 ,-31.8,444-497,5799-5852,ncRNA,-996.6,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
61,ENST00000436292,ZNF683,chr1:26688127-26699266 ,-31.8,46-97,996-1047,CDS,-144.1,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
62,ENST00000303045,COL22A1,chr8:139600479-139926236 ,-31.8,502-549,3951-3998,CDS,-667.3,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
63,ENST00000602662,MINOS1-NBL1,chr1:19923474-19984549 ,-31.8,616-663,866-913,UTR3,-210.3,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
64,ENST00000375136,NBL1,chr1:19970658-19984945 ,-31.8,616-663,1019-1066,UTR3,-242.2,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
65,ENST00000295757,HDAC11,chr3:13521666-13547916 ,-31.7,41-100,1477-1536,UTR3,-244.4,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
66,ENST00000278319,ZNF215,chr11:6947655-6979068 ,-31.7,447-497,360-410,UTR5,-601.9,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
67,ENST00000251091,SAMD4A,chr14:55034331-55260029 ,-31.7,293-348,2456-2511,UTR3,-916.1,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
68,ENST00000322444,KCTD2,chr17:73043341-73061979 ,-31.6,306-355,1072-1121,UTR3,-538.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
69,ENST00000216832,PNN,chr14:39644418-39652422 ,-31.6,290-339,972-1021,CDS,-882.6,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
70,ENST00000413312,SPAG16,chr2:214149141-214230140 ,-31.5,493-549,2189-2245,UTR3,-325.3,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
71,ENST00000503427,HMGXB3,chr5:149379885-149432386 ,-31.5,308-357,3521-3570,CDS,-697.3,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
72,ENST00000222812,STX1A,chr7:73113537-73133988 ,-31.4,285-332,1093-1140,UTR3,-170.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
73,ENST00000544583,ABR,chr17:906768-1090616 ,-31.4,302-350,538-586,UTR5,-539.4,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
74,ENST00000263967,PIK3CA,chr3:178866312-178957881 ,-31.4,303-350,7032-7079,UTR3,-1785.8,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
75,ENST00000318682,EIF4E1B,chr5:176057684-176073642 ,-31.3,302-351,1561-1610,UTR3,-124,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
76,ENST00000429829,XIST,chrX:73040492-73072588 ,-31.3,443-492,12209-12258,ncRNA,-2793.6,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
77,ENST00000434239,C18orf42,chr18:5145369-5197224 ,-31.3,454-501,94-141,UTR5,-94.7,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
78,ENST00000307602,HOOK3,chr8:42752076-42885682 ,-31.3,287-336,10630-10679,UTR3,-2615.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
79,ENST00000392857,ORC4,chr2:148687969-148778292 ,-31.2,295-350,5897-5952,UTR3,-1222.2,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
80,ENST00000271332,CELSR2,chr1:109792642-109818372 ,-31.2,307-355,5312-5360,CDS,-974.3,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
81,ENST00000358808,CLIP1,chr12:122755982-122907116 ,-31.1,310-357,304-351,CDS,-1149.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
82,ENST00000324079,TDRP,chr8:439804-494998 ,-31.1,449-499,2230-2280,UTR3,-593.6,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
83,ENST00000511222,RP11-530I17.1,chr4:55919228-55958701 ,-31.1,602-652,55-105,ncRNA,-126.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
84,ENST00000286175,PPIL3,chr2:201735631-201753992 ,-31.1,296-349,124-177,UTR5,-235.9,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
85,ENST00000556772,NUMB,chr14:73741927-73766083 ,-31,445-496,225-276,UTR5,-841.1,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
86,ENST00000444077,AC017006.2,chr2:46305155-46305967 ,-30.9,588-646,47-105,ncRNA,-137.4,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
87,ENST00000578681,DDX42,chr17:61851224-61896677 ,-30.9,44-94,3013-3063,CDS,-595.2,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
88,ENST00000383163,PRR23A,chr3:138722805-138725110 ,-30.8,242-300,943-1001,UTR3,-351.2,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
89,ENST00000556120,DIO3OS,chr14:102018561-102022013 ,-30.8,286-339,1860-1913,ncRNA,-264.6,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
90,ENST00000409931,TBC1D2B,chr15:78287329-78370066 ,-30.8,307-354,3802-3849,UTR3,-508.6,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
91,ENST00000527937,PKD1L2,chr16:81204821-81214932 ,-30.8,444-501,3504-3561,UTR3,-438.9,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
92,ENST00000564619,AP000997.2,chr11:115509282-115517680 ,-30.8,450-499,1432-1481,ncRNA,-1256.7,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
93,ENST00000357325,HDGF,chr1:156711900-156721536 ,-30.7,303-350,673-720,CDS,-284.9,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
94,ENST00000313146,ISG20L2,chr1:156691684-156698227 ,-30.7,286-339,1853-1906,UTR3,-394.3,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
95,ENST00000369306,PEX11B,chr1:145516253-145523730 ,-30.6,452-499,853-900,CDS,-315.1,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
96,ENST00000421307,LRRFIP2,chr3:37094118-37217851 ,-30.5,595-660,1617-1682,CDS,-884.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
97,ENST00000261177,TSPAN11,chr12:31079893-31149534 ,-30.5,40-101,932-993,UTR3,-483.3,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
98,ENST00000354161,SLC12A9,chr7:100450376-100464630 ,-30.5,441-499,1037-1095,CDS,-296.5,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
99,ENST00000546793,RP11-983P16.4,chr12:53436974-53448222 ,-30.5,304-353,667-716,ncRNA,-371.6,ENST00000456355,ENSG00000234961.1
,,,,,,,,,ENST00000456355,ENSG00000234961.1
100,ENST00000306051,PTGDR,chr14:52734432-52743442 ,-30.5,447-497,412-462,CDS,-461.4,ENST00000456355,ENSG00000234961.1
1,ENST00000307365,DDIT4,chr10:74033679-74035794 ,-173.5,438-536,938-1036,UTR3,-2920.7,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
2,ENST00000602157,hsa-mir-150,chr19:50003782-50004614 ,-58.1,492-539,92-139,CDS,-383.1,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
3,ENST00000444313,PARVG,chr22:44576771-44604349 ,-54.8,469-538,2451-2520,UTR3,-1328.3,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
4,ENST00000355797,MXRA7,chr17:74668634-74707037 ,-54.2,485-536,316-367,CDS,-681.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
5,ENST00000368655,GATAD2B,chr1:153777202-153895451 ,-52.6,489-538,7106-7155,UTR3,-1192.4,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
6,ENST00000607746,RP11-861A13.4,chr3:107844669-107857457 ,-52,492-540,1363-1411,ncRNA,-492.2,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
7,ENST00000416385,RP11-206L10.3,chr1:677194-685396 ,-50.2,203-260,3518-3575,ncRNA,-585.7,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
8,ENST00000484859,RP11-34P13.13,chr1:141475-149707 ,-50.2,203-260,3518-3575,ncRNA,-555.2,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
9,ENST00000307145,KLF13,chr15:31619059-31670102 ,-48.7,477-525,5887-5935,UTR3,-1018.2,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
10,ENST00000265087,STC2,chr5:172741717-172756506 ,-48.4,489-537,2694-2742,UTR3,-677.6,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
11,ENST00000580996,RP11-138I1.2,chr17:16317839-16320003 ,-48.2,489-537,312-360,ncRNA,-567,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
12,ENST00000326724,AATK,chr17:79091096-79139817 ,-48.2,490-538,5006-5054,UTR3,-790.3,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
13,ENST00000382426,RP11-1275H24.1,chr7:5465917-5468558 ,-48.2,204-259,1803-1858,ncRNA,-374.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
14,ENST00000610122,RP11-1275H24.1,chr7:5465909-5468558 ,-48.2,204-259,1803-1858,ncRNA,-374.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
15,ENST00000573063,CTC-277H1.7,chr16:67295012-67297687 ,-47.8,455-525,2015-2085,ncRNA,-841.7,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
16,ENST00000272164,WNT9A,chr1:228106358-228135599 ,-46.9,489-536,2510-2557,UTR3,-578.3,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
17,ENST00000399246,AC003102.1,chr17:42325759-42327236 ,-46.8,477-538,372-433,UTR5,-558.1,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
18,ENST00000601203,AIRN,chr6:160424324-160428696 ,-46.8,489-538,1615-1664,ncRNA,-776.5,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
19,ENST00000524240,GFRA2,chr8:21547916-21646322 ,-46.6,482-537,4492-4547,UTR3,-839.1,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
20,ENST00000597346,KCNQ1OT1,chr11:2629559-2721224 ,-46.3,486-537,72490-72541,ncRNA,-11087.6,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
21,ENST00000493094,POPDC2,chr3:119361183-119379730 ,-46.3,483-536,187-240,UTR5,-379.5,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
22,ENST00000300811,ZNF428,chr19:44111372-44124026 ,-45.8,470-519,1044-1093,UTR3,-290.1,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
23,ENST00000263238,ACTR3,chr2:114647538-114720173 ,-45.8,483-546,17-80,UTR5,-917.1,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
24,ENST00000295851,ABI2,chr2:204192943-204312446 ,-45.8,468-525,15333-15390,UTR3,-2931.4,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
25,ENST00000326413,RIIAD1,chr1:151682910-151702082 ,-45.8,490-538,47-95,UTR5,-362.5,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
26,ENST00000442233,AL589765.1,chr1:151682910-151702070 ,-45.8,490-538,47-95,"UTR5,start_codon",-362.3,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
27,ENST00000377474,KCTD12,chr13:77454313-77460525 ,-45.7,203-255,2213-2265,UTR3,-737.3,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
28,ENST00000325351,ZNF784,chr19:56132109-56135967 ,-45.6,478-525,1070-1117,UTR3,-437.5,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
29,ENST00000311177,HOXB9,chr17:46698519-46703839 ,-45.6,203-250,54-101,UTR5,-394.4,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
30,ENST00000609998,RP11-449P15.2,chr7:919428-926184 ,-45.6,205-254,5168-5217,ncRNA,-640.2,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
31,ENST00000376734,TRIM31,chr6:30070675-30080883 ,-45.6,483-536,1554-1607,UTR3,-402,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
32,ENST00000520539,UBR5,chr8:103265241-103425069 ,-45.5,492-542,506-556,UTR5,-1180.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
33,ENST00000368172,KIRREL,chr1:158056471-158070052 ,-45.2,207-257,6076-6126,UTR3,-823,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
34,ENST00000355394,ABI1,chr10:27035526-27150016 ,-45.1,490-538,29-77,UTR5,-813.1,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
35,ENST00000358552,NFIX,chr19:13135812-13209610 ,-45,107-154,3060-3107,UTR3,-649.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
36,ENST00000274853,PPP1R18,chr6:30644167-30655672 ,-44.9,642-694,1274-1326,UTR5,-1111.3,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
37,ENST00000397068,ART5,chr11:3659734-3663485 ,-44.8,487-538,175-226,UTR5,-171.5,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
38,ENST00000333598,C19orf59,chr19:7741515-7744712 ,-44.8,490-538,Jan-42,UTR5,-284.4,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
39,ENST00000354586,STYX,chr14:53196901-53241716 ,-44.8,648-697,187-236,UTR5,-651.9,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
40,ENST00000309889,TCAP,chr17:37820441-37822808 ,-44.6,482-537,1856-1911,UTR3,-408.3,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
41,ENST00000293897,SSTR5,chr16:1128782-1131454 ,-44.5,483-536,1892-1945,UTR3,-490.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
42,ENST00000422216,RP1-18D14.7,chr1:47691470-47696422 ,-44.5,489-538,2652-2701,ncRNA,-669,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
43,ENST00000244625,TBCC,chr6:42712240-42714558 ,-44.4,204-254,128-178,UTR5,-251.2,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
44,ENST00000402466,SETD5,chr3:9439404-9519838 ,-44.4,203-250,6700-6747,UTR3,-1126.7,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
45,ENST00000375906,GPANK1,chr6:31629007-31634060 ,-44.4,485-538,173-226,UTR5,-606.7,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
46,ENST00000391417,KRTAP4-7,chr17:39240460-39241396 ,-44.2,711-764,421-474,"CDS,stop_codon",-161.3,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
47,ENST00000426126,ZDHHC17,chr12:77157369-77247476 ,-44.2,203-250,3840-3887,UTR3,-801.4,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
48,ENST00000609207,RP11-54O7.3,chr1:852246-856396 ,-44,489-539,47-97,ncRNA,-481.3,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
49,ENST00000316962,CEACAM20,chr19:45015069-45033811 ,-44,483-538,144-199,ncRNA,-308,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
50,ENST00000454753,CEACAM20,chr19:45005730-45033811 ,-44,483-538,144-199,ncRNA,-316.4,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
51,ENST00000316881,TRIM25,chr17:54965271-54991399 ,-43.8,107-154,2047-2094,UTR3,-816.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
52,ENST00000256925,CABLES1,chr18:20715728-20840431 ,-43.7,476-525,3519-3568,UTR3,-685.1,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
53,ENST00000466675,RARRES2,chr7:150035448-150038732 ,-43.7,487-540,600-653,UTR5,-392.2,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
54,ENST00000373166,TRAPPC3,chr1:36602174-36615070 ,-43.7,203-255,1021-1073,UTR3,-318.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
55,ENST00000281523,ZNF385D,chr3:21459916-21792927 ,-43.6,203-250,1851-1898,UTR3,-549.5,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
56,ENST00000354570,MAP7,chr6:136663876-136871957 ,-43.5,438-499,760-821,CDS,-591.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
57,ENST00000434301,AC092667.2,chr2:100721382-100723966 ,-43.4,490-537,1629-1676,ncRNA,-355.1,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
58,ENST00000609686,GRIN2B,chr12:13693166-14133053 ,-43.4,484-539,23228-23283,UTR3,-4554,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
59,ENST00000399540,AC027763.2,chr17:6904452-6915661 ,-43,489-538,1210-1259,UTR3,-323.1,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
60,ENST00000373382,VPS26A,chr10:70883269-70932617 ,-43,208-255,501-548,UTR5,-569.2,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
61,ENST00000349792,PIP5K1A,chr1:151171028-151222012 ,-43,203-255,3591-3643,UTR3,-464.8,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
62,ENST00000439070,AC002066.1,chr7:116056172-116105330 ,-43,464-523,Jan-60,ncRNA,-238.2,ENST00000491934,ENSG00000269926.1
,,,,,,,,,ENST00000491934,ENSG00000269926.1
